BuyerID,BuyerName,BuyerContact,Gmail,,Profession,Income\Level
5c8d8324-9b9a-4a78-a0fe-781a6f2d04fe,Victoria Kane,8733946442,Victoria@gmail.com,,Teacher,high
83d8ae7b-2b6b-4538-b966-078705c462b1,George Kim,8726955226,George@gmail.com,,Doctor,low
96e98a7b-8660-4598-9054-d0fd5c99aa71,Amy Johnson,9418581142,Amy@gmail.com,,Farmer,medium
307da0ec-04e7-46c3-8adc-32dac45b55d3,Logan Bradley,9040825012,Logan@gmail.com,,Engineer,high
e7c7b4aa-819b-47a0-ac19-a1120aea0041,Taylor Kent,8436014871,Taylor@gmail.com,,Business,low
efba0a89-84b0-497d-9c77-1a2e7f4e1ec2,Daniel Ramos,9401779528,Daniel@gmail.com,,Doctor,high
8d5d3a30-8942-4f6f-98c4-357487ecf865,David Stokes,9040163753,David@gmail.com,,Business,high
4f9573de-8c07-4d0e-8e5a-ebcbbc9e36a4,Charles Mendoza,9383142716,Charles@gmail.com,,Teacher,low
8a80f04d-0d55-4ef8-9d1d-4fc0c3759570,Chad Davis,8645283509,Chad@gmail.com,,Doctor,medium
a545aa18-6e1a-4578-84bb-cce0e77f2808,Cheryl Taylor,9352552734,Cheryl@gmail.com,,Business,medium
af91c405-23ad-4346-bbef-9b8a2d5be81f,Kristen Cook,9529949312,Kristen@gmail.com,,Engineer,medium
15c4056d-8895-4c6e-82b2-f1f38f79b495,Courtney Ortiz,9903865233,Courtney@gmail.com,,Business,medium
d266d90b-304d-4e50-881f-9da6641e0613,Andrea Kim,8178271864,Andrea@gmail.com,,Engineer,low
22be5086-6b58-4676-a9d0-4c9ef34b8ce0,Lorraine Cox,8037747526,Lorraine@gmail.com,,Business,high
516917bf-4762-4118-9eef-dc4077217f25,Lisa Walter,8047567478,Lisa@gmail.com,,Farmer,medium
cada25c2-1430-492f-af56-f470026b8934,Amy Moore,9807334573,Amy@gmail.com,,Doctor,medium
e6a5470a-8c38-477d-8fca-be3af11027ec,Amber Mcknight,8655678614,Amber@gmail.com,,Business,high
9980f6fc-5b42-4b98-aeed-bdfcff53aee7,John Guerrero,8988300060,John@gmail.com,,Engineer,high
5ad0e7f2-6635-4bc1-950d-f6666d7692bc,Christopher Montgomery,8804094785,Christopher@gmail.com,,Business,high
ea08ea4f-4034-41a1-ad99-809298dcf475,Sandra Collins,8045291575,Sandra@gmail.com,,Doctor,medium
b38a1ec1-b7ce-4b2b-bd64-ebf53cd9d515,Aaron Hoffman,8696214499,Aaron@gmail.com,,Business,low
51911d0d-a3b7-4f1f-a0a7-8d2b1d3c5cc9,Gregory Ramos,9688164396,Gregory@gmail.com,,Teacher,high
e1c0c78a-3d81-47bd-abbf-4a0e8aa105d0,Kevin Booker,8452501568,Kevin@gmail.com,,Engineer,high
10782949-5947-4191-9d1c-3a8835d3bd37,Brooke Wood,9972822014,Brooke@gmail.com,,Engineer,high
bbde90d1-1c8c-418b-9be4-9504d2b7749c,Adam Tucker,9262929351,Adam@gmail.com,,Farmer,medium
c233cf3e-f69b-4617-8996-4923db9bdb0b,Nicholas Jefferson,9945701175,Nicholas@gmail.com,,Business,medium
0ca3f623-d2fc-43b2-9e92-42760ce3ea7b,Luis Gentry,8508053237,Luis@gmail.com,,Doctor,low
31f4e389-8ae1-4dc1-8bff-9aee31eae1b9,David Mooney,9699122784,David@gmail.com,,Engineer,high
754ac6ce-d71c-4a1b-8146-82226b18321d,Vicki Stark,9122485165,Vicki@gmail.com,,Farmer,medium
6e23fe0c-ee95-44d6-930b-f4f1346fb69d,Alice Miller,9239817781,Alice@gmail.com,,Teacher,low
02da8376-1509-4bf2-9aff-503dc203eb62,Joshua Ford,9872178750,Joshua@gmail.com,,Doctor,low
e3a351da-9ded-4bc5-ae37-8fa81c3d868c,Whitney Choi,9866667671,Whitney@gmail.com,,Business,medium
32b1c9d2-d808-4633-b2a3-e40616a70dfa,Dana Buchanan,8879449804,Dana@gmail.com,,Teacher,medium
b4f3f50c-ef75-4c6d-8707-8b3cdd6329e8,Elizabeth Bates,9227665278,Elizabeth@gmail.com,,Farmer,low
1779b76c-fe5d-4c57-8301-4b134aada12a,Shawn Coleman,9463542834,Shawn@gmail.com,,Engineer,medium
0ff04ec5-7549-4801-b2f9-f0f77dee0f12,Mrs. Karen Pugh,9992375592,Mrs. Karen@gmail.com,,Doctor,medium
8315429d-8a75-4ab2-95e8-de703564c56e,Timothy Huang,9655718200,Timothy@gmail.com,,Engineer,high
b111a708-d2d4-4ba0-83f8-7a2525cb7f82,Pamela Morris,9254603267,Pamela@gmail.com,,Doctor,high
b5f545a9-c735-431f-baa3-99015a736b1f,Richard Ramsey,8258567499,Richard@gmail.com,,Teacher,low
cfdb35a3-ac38-4cfa-af35-a96ffdb7e350,Brenda Nguyen,8695858300,Brenda@gmail.com,,Business,low
98100b92-ac65-4e7d-8eea-ee90e698be0c,Tim Turner,9175859261,Tim@gmail.com,,Farmer,low
11c0d2c6-5fb3-4872-b55e-1eee54fec779,Robert Walters,8871964271,Robert@gmail.com,,Doctor,high
d6b0c13c-6826-4728-8eeb-c06e1e15bd26,Cassandra Watts,8284958293,Cassandra@gmail.com,,Engineer,medium
43ca62a9-29e0-4b8f-bae7-0b25c6e3258d,Olivia Brown,9544318796,Olivia@gmail.com,,Business,high
22b9c5a8-0bee-4537-b0a3-4a6403cd9976,Sandra Campbell,9299591323,Sandra@gmail.com,,Teacher,medium
0e5aec4a-0568-4783-8023-e00863f2b388,Laurie Marks,8535329911,Laurie@gmail.com,,Engineer,low
729d7348-b278-4558-b6de-e7507223c368,Carl Harris,8349228702,Carl@gmail.com,,Teacher,high
defba894-eb19-4e95-8d03-e772ed5d1ca0,Sharon Moore,9640220642,Sharon@gmail.com,,Farmer,high
a0af388f-df99-4bda-9711-7e3f43a658e6,Jordan Gentry,8097157802,Jordan@gmail.com,,Teacher,medium
5ea796e7-a437-4940-aafa-183fb5e9f31b,Danielle Acosta,9299315904,Danielle@gmail.com,,Business,medium
5581cf7d-12f4-4f2f-9181-f63c3e76cfd4,Kenneth Poole,8244494566,Kenneth@gmail.com,,Teacher,high
f904784f-a3ff-40fb-837a-31d6c71da5d3,Cynthia Garcia,8423776833,Cynthia@gmail.com,,Business,medium
2f120370-b47c-4f39-8f3e-4833a1ed4640,David Nicholson,8954096745,David@gmail.com,,Engineer,low
020ff126-8022-4c6b-8a56-c4e478155338,Lisa Carter,8436398317,Lisa@gmail.com,,Teacher,high
e2a0aadf-1989-4bfd-874b-df5c43daf2f7,Elizabeth Davis,8802988023,Elizabeth@gmail.com,,Teacher,low
a01f76a5-ef96-42a1-9796-f6780e983717,Michael Larson,9914047587,Michael@gmail.com,,Teacher,low
deb19482-c1f4-4a21-ab20-ab87c9b142c3,Raymond Harris,8050084083,Raymond@gmail.com,,Business,medium
e3062498-cc91-4ecf-952b-70e2fd585f90,Dr. Kimberly Thornton MD,9108232580,Dr. Kimberly Thornton@gmail.com,,Doctor,low
611bf023-fcb0-44f5-9465-9be6d4dcf087,Destiny Bennett,8905224949,Destiny@gmail.com,,Doctor,low
1c576d62-037e-4db3-b354-64979d14155c,Melanie Brown,9332876878,Melanie@gmail.com,,Teacher,high
3e0d9b08-d933-4172-996e-d0f4ef1c6669,Chris Hendricks,8269581778,Chris@gmail.com,,Doctor,high
d92bb4a5-1c1e-4b71-9f5e-10c392ff863b,Calvin Kennedy,9715131021,Calvin@gmail.com,,Doctor,low
f89b8280-d43a-4184-bdd8-d2b95834f176,Gavin Davis,9442287747,Gavin@gmail.com,,Engineer,low
efb2b3fa-0f07-49c6-bffa-99f7f88b4150,Nicole Mora,8457563139,Nicole@gmail.com,,Doctor,medium
e39a29d4-60b0-4721-b574-5c1875c39109,Tiffany Short,8407742563,Tiffany@gmail.com,,Farmer,medium
73008c62-fef2-4b56-95ef-ffc1e3f1b849,Dustin Aguilar,8314746022,Dustin@gmail.com,,Teacher,low
4cf8f254-66bb-4c5b-a35b-963c1dddb90d,Tracy Dodson,9605131638,Tracy@gmail.com,,Farmer,medium
cbd60a87-386c-4d89-a9e4-f399b79707be,Rodney Perry,8998149717,Rodney@gmail.com,,Farmer,low
db6b840f-1141-4318-879a-384316d72111,Eric Rivera,8954735027,Eric@gmail.com,,Farmer,low
60f67cc8-2da8-4561-b515-0fdd18a391db,Amy Jones,9146860846,Amy@gmail.com,,Farmer,low
9ccaea96-550d-42aa-bd12-bedd58210efa,Stephanie Baker,8265284690,Stephanie@gmail.com,,Engineer,low
9ee05b18-6d71-415e-bae4-79f353aa93c8,Jasmine Crawford,8658574003,Jasmine@gmail.com,,Doctor,high
1aca5fe0-bb09-48c1-b2bc-2a3091e4364e,Lisa Miller,8785161093,Lisa@gmail.com,,Doctor,low
13569805-5bc5-4457-bdd4-e9754fb35579,Ashley Nguyen,9578421918,Ashley@gmail.com,,Business,medium
977a3418-c820-4ec1-9d53-6b5679a0b6af,John White,8870119673,John@gmail.com,,Engineer,high
1ca7a659-768b-4bb8-8ff9-f9d1a82486a7,Wendy Cox,9296544907,Wendy@gmail.com,,Farmer,low
1f899bb1-b76a-480a-ba2b-383e4b04db26,Andrew Kelley,9822254243,Andrew@gmail.com,,Teacher,high
5d78e891-d089-4502-80e1-fb064ce645e1,Mr. David Werner,8787618221,Mr. David@gmail.com,,Engineer,high
9c4690eb-22ae-428d-ac9d-fafad86ad589,Vincent Montoya,8823867132,Vincent@gmail.com,,Doctor,medium
23f3b8ac-b026-433c-8bd2-cee0ae5e15a0,Dana Brown,9952466645,Dana@gmail.com,,Engineer,medium
3509867f-f9ae-4d71-aa8c-b6bbf1302b99,Chelsea Melendez,8613559443,Chelsea@gmail.com,,Business,low
48544072-1474-469d-a7d5-72e521a2aee8,Taylor Smith,8011482657,Taylor@gmail.com,,Doctor,high
e7990d46-a2f9-47f8-bbee-c66f427dd941,Sydney Woodard,9434942178,Sydney@gmail.com,,Teacher,low
3972bb09-4d7e-4df4-bed9-8a5b60bd22b6,Ronald Berger,8893339635,Ronald@gmail.com,,Business,low
abdf8cdd-6450-41b3-91ad-5785b06e8914,Robert Rose,8776781285,Robert@gmail.com,,Engineer,low
c1174516-0b51-4eae-97cb-dd8f12659da4,Robert Morgan,9908291314,Robert@gmail.com,,Business,high
44c52967-772a-444a-bca4-2b1e379e2d23,Erica Brown,8531665630,Erica@gmail.com,,Doctor,medium
07bffb2e-ce3a-43f4-ab80-54ab5912e666,Ronald Mcgee,8426382116,Ronald@gmail.com,,Engineer,high
de5e61b9-ffc5-47ad-ba67-27f39bc06114,Judith Christensen,9264017781,Judith@gmail.com,,Farmer,low
d4e4f13b-2461-4ed1-b9e2-7c5215e236d5,Dr. Anthony Guzman,9679638687,Dr. Anthony@gmail.com,,Farmer,high
f25cd6f4-eefe-46cd-a984-6c610e4d1df5,Crystal Conley,9202654149,Crystal@gmail.com,,Teacher,low
ac594f5a-583a-4ef5-9dfb-c81aa7ad5c66,Daniel Campbell,8456255018,Daniel@gmail.com,,Engineer,medium
0f095541-037f-4c79-99e4-e1d490b4ee5c,Todd White,9166073955,Todd@gmail.com,,Farmer,medium
ebe5035e-b50f-413c-9a74-a1a7051a4c9f,Alexander Medina,9001311987,Alexander@gmail.com,,Business,high
31cf4589-0e70-4294-a1af-08820209e914,Jeremy Lawrence,9608796638,Jeremy@gmail.com,,Business,medium
b3744255-997f-4cb7-8df2-d95dae80b788,Mr. Christopher Moore,9618038847,Mr. Christopher@gmail.com,,Business,low
b4ff0319-d5bd-466b-8c37-ec724f02992e,Jason Green,8781153195,Jason@gmail.com,,Business,low
fbe7d1ad-3b37-4a73-b696-81f7fa3308fb,Anthony Smith,9553167459,Anthony@gmail.com,,Engineer,low
d664859a-9f05-4134-8f85-32f39faaf74e,Robert Munoz,8639848270,Robert@gmail.com,,Farmer,low
8f17beb5-6621-44de-a4bb-1c64f0c3b6b7,Jennifer Anthony,9713228027,Jennifer@gmail.com,,Business,high
