SellerID,SellerName,SellerContact,EmailId,SellerType
5575ae0c-c452-4dfd-99f9-27e000e5ef54,Steven Thomas,9350312023,Steven@gmail.com,Individual
fe752687-f848-4b7d-9613-072c5f00c803,Kimberly Rowe,8313634436,Kimberly@gmail.com,Bank
c5cd9e1a-3b49-4cae-a64d-88b16a4c875a,Michael Murray,9834457087,Michael@gmail.com,Individual
c74c1fcf-0abe-40a7-a51d-4717f77b3aee,Robert Harris,9562182918,Robert@gmail.com,Builder
2d2b20df-6c14-44b9-a559-dad3036a8da0,David Tucker,8750708529,David@gmail.com,Individual
4a62bb91-709b-4e97-b6cb-2045c9ce66ba,Kathryn Harper,8005559652,Kathryn@gmail.com,Builder
63fe5cb0-63db-413e-b5d1-41ccc3bdab90,Danielle Lawrence,9471468942,Danielle@gmail.com,Bank
d191806a-ea0b-477b-8660-01e3e5982992,Adam Wilson,9560324131,Adam@gmail.com,Bank
8ee3f15f-8b03-4245-9590-8917a29b646c,Marcus Wagner,8140130427,Marcus@gmail.com,Bank
d9516c48-4846-4dab-a2ff-f9bdd44d5651,David Hobbs,9136471365,David@gmail.com,Bank
1d868b17-196c-48bd-8e23-d58b69f15a31,Peter Warner,8156003522,Peter@gmail.com,Builder
ad070736-4224-4a01-8663-62957120f0a5,Karen Olson,8045694539,Karen@gmail.com,Bank
2f6af853-7c0c-4be0-8e0e-97021342502d,Jeffrey Bradley,9636072057,Jeffrey@gmail.com,Individual
d79a5aab-2bf1-4319-8673-d1227457705c,Erik Collins,9646221546,Erik@gmail.com,Individual
d6226767-1efd-4751-ae11-ac893f17e7f1,Andrew Hoffman,8131145239,Andrew@gmail.com,Bank
e17462ac-cce3-4c01-a062-d0663cca3569,Susan Gonzales,9138326888,Susan@gmail.com,Individual
efe75f26-68b7-4a03-bfbe-b96a2ca790ee,Heather Graham,8608321472,Heather@gmail.com,Bank
a7d4d191-55b8-4068-aeb6-aeb62d174347,Joseph Smith,8636358368,Joseph@gmail.com,Individual
c04a1607-feab-45d7-a20b-92a7bf10e5c8,Kristin Woods,8644899937,Kristin@gmail.com,Individual
cfc1efe1-40bb-4d9f-be0c-6a05f68695e5,Sean Olson,9387849371,Sean@gmail.com,Individual
f053584c-5559-40ae-8f08-783bf940520c,Amy Wilson,8511649422,Amy@gmail.com,Builder
6d355a4a-2dda-47b7-b2ef-0547e74a4f6d,Sandra Hill,8984104013,Sandra@gmail.com,Builder
f18ce83a-96a5-41c3-aca1-d78f48b99918,Alicia Richards,8229410346,Alicia@gmail.com,Bank
10366c65-c6e6-4632-818e-ebb0947ef315,Kelly Lewis,9205054776,Kelly@gmail.com,Individual
95befa0b-e9d7-4b88-8acf-6e19eef89e8a,Ian Rivas,9955914970,Ian@gmail.com,Individual
b25951de-1ee5-4627-90af-a0ce8789858d,Walter Harris,8153481627,Walter@gmail.com,Bank
20be8044-5efd-4c77-ae26-919fee53cc72,James Harvey,8001501896,James@gmail.com,Bank
0d4b2c0f-58a4-4600-b341-a9ecf3023ecd,Eric Wilson,8871126859,Eric@gmail.com,Builder
37811629-f435-4cb9-9603-ad849b972ca7,Tracy Maldonado,9009475583,Tracy@gmail.com,Builder
9890de7b-12c9-4daa-a760-f31820d6118e,Daniel Hatfield,8918120784,Daniel@gmail.com,Individual
e552e519-9976-4cb4-813e-fdf92893d734,Melissa Woodard,8170541650,Melissa@gmail.com,Bank
0f68f30b-3583-4886-848d-5946e9744f6f,Sydney Carson,8761144921,Sydney@gmail.com,Individual
295b36a9-4162-47a4-8b9b-2d2c3ecc61a8,Jessica Pittman,9698219000,Jessica@gmail.com,Individual
d8da11fc-f84e-4d6a-ab00-f75ab0f5ad16,Darrell Bean,8533753523,Darrell@gmail.com,Bank
e21717a3-1c04-49c9-b22f-9f5a92d2e7c7,Troy Tucker,9688289268,Troy@gmail.com,Bank
2077c973-6fff-4106-8d54-84ee6926ce3c,Kevin Roberts,9809031494,Kevin@gmail.com,Bank
8ff229ad-51e4-4903-820d-49e4e62d1cf5,Joann Powell,9400962526,Joann@gmail.com,Builder
d3bfe1fb-b382-4ea7-bc89-8c8ac3c45c68,Ashley Spencer,8042874066,Ashley@gmail.com,Builder
32032a76-5bbb-4ae1-8c00-880622f486f2,Edward Lang,9548416675,Edward@gmail.com,Builder
3d982b5f-667b-40b1-b4cc-2f9b7eae7f97,Kathleen Nichols,9649773089,Kathleen@gmail.com,Bank
ffbf3656-b1d3-4641-a633-6db976c7bb06,Laura Lee,9033869234,Laura@gmail.com,Bank
2a5eade9-93f6-4c8e-86b0-f7912059943b,Michael Collins,9531197042,Michael@gmail.com,Builder
ed7976b9-41ac-449c-b9ef-cfd15bbcc59a,Paula Davis,8185472109,Paula@gmail.com,Bank
2383aca4-fc13-4ba4-9c42-d8d70a233366,Rachel Huff,8441095288,Rachel@gmail.com,Builder
b12fdab0-b3b3-4f09-bd85-51fb6e37bdcf,Ashley Roth,8249148850,Ashley@gmail.com,Individual
32cbdb89-544c-4ce6-a18f-cf2aa580240c,Candice Cooper,9260584122,Candice@gmail.com,Bank
8c6c65b4-b859-409f-afbf-8fcccc84d662,Megan Carroll,8487831773,Megan@gmail.com,Builder
47fecc4d-6cb7-4f89-997a-2701f69f6363,Scott Jackson II,8599637899,Scott Jackson@gmail.com,Builder
a762ef94-cf7b-45ec-9693-c2f50132d9c2,Brandy Harrell,8383635360,Brandy@gmail.com,Bank
2743c1cc-d730-42ae-a013-76a107703df5,Jesse Lucero,9276485833,Jesse@gmail.com,Individual
2fa08d67-11f4-4472-9a08-adf58a47e450,Erin Carpenter,8060804792,Erin@gmail.com,Individual
80149fb0-91c3-4ff2-8458-dcd57a580dba,Jack Parker,8709207270,Jack@gmail.com,Bank
90bf769b-3353-447f-a78e-336ce0a3ab30,Virginia Hubbard,8422861518,Virginia@gmail.com,Bank
051a6e3c-7aae-462a-b9e1-9d867f516469,Julie Sullivan,9422094586,Julie@gmail.com,Bank
99ac1928-c62a-4981-8242-0d6a4044386a,Jonathan Thomas,9651927695,Jonathan@gmail.com,Bank
299ece41-4068-41b6-9b95-b38c6a47900b,Derrick Peters,9650396287,Derrick@gmail.com,Bank
6c9fb135-0b23-4536-a01e-eae023486f89,Shane Jones,9234199592,Shane@gmail.com,Builder
d543e068-0855-4d13-9893-40770aa2fc71,Michele Cummings,8335779049,Michele@gmail.com,Builder
e6345c65-1ba8-4915-bc6c-5662678cb2a8,Kristen Nichols,8104760169,Kristen@gmail.com,Bank
5776c76e-22c6-48d2-8954-698ecdde681f,Dominic Williams,8075572559,Dominic@gmail.com,Bank
2465cd6a-e80d-4471-8048-e92742cba5d5,Nicole Weiss MD,8431330377,Nicole Weiss@gmail.com,Builder
4b3a219d-f26d-4922-8afd-ad3f8f0dec27,Ann Lynch,9710603706,Ann@gmail.com,Bank
8a79569a-e051-4e08-94d3-9d74d22d809c,Lauren Russell,8893848721,Lauren@gmail.com,Individual
80143fb6-1f72-4374-894f-80e3aa2d5320,Lawrence Randolph,8373447066,Lawrence@gmail.com,Individual
167c2936-0c20-41db-ab1b-45790ccbdb7e,David Lowe,8033777866,David@gmail.com,Bank
1ecb82b5-4bf6-4d0e-bbea-d2df2e3b4a5b,Jordan Holt,8822376206,Jordan@gmail.com,Bank
32d0dd6b-8536-4ca9-8bc6-398829e07cb9,Donna Johnson,9506710783,Donna@gmail.com,Individual
20ab38ed-3f34-49a8-b7cb-e2ce344ecc35,Calvin Harris,8262859067,Calvin@gmail.com,Individual
9f8d5bcb-0e73-496e-88fe-72f04bb2ae3e,Robert Walker,8356690605,Robert@gmail.com,Bank
0e4e8fdd-5a60-479a-8564-21cc8b15a79d,Timothy Leonard,9320208689,Timothy@gmail.com,Bank
133e0fe8-f5d4-4795-bc00-d5f42f12f894,Courtney Thompson,8999170825,Courtney@gmail.com,Individual
d3e39841-52d8-43e0-b895-409360ddd634,Douglas Lloyd,9731261986,Douglas@gmail.com,Bank
f2f7b21e-4656-49ed-9c0a-e43adf88ea2c,Michael Lane,8897886535,Michael@gmail.com,Bank
7e2f4de8-d556-4067-99ae-792a2e41090c,Janet Kelley,8528604007,Janet@gmail.com,Bank
2a250d65-3cb8-4d29-a253-a8931b480fc5,Michael Blackburn,9741522355,Michael@gmail.com,Builder
03f5d7b5-736e-42b3-84be-59c88601cf35,Gregory Jones,8987220528,Gregory@gmail.com,Bank
6719bc09-08c3-48ff-bd0a-0ba37442e210,Rachel Garcia,8184655837,Rachel@gmail.com,Builder
c1b4d220-6e83-4459-876d-c569a8c73757,Ms. Misty Miller,9993943448,Ms. Misty@gmail.com,Bank
be9a2b12-d6d0-43b4-89e8-efb7a4e1869c,Carlos Jones,9498679108,Carlos@gmail.com,Builder
03147dfd-88a9-42db-afea-9f23f5a18f58,Vicki Gonzales,9710619506,Vicki@gmail.com,Bank
1f468f0f-ecff-4ac8-ba57-fb83fd33c57c,Christian Anderson,8902223474,Christian@gmail.com,Individual
9d71b4f0-b509-41b9-b32f-8d5f6835c355,Steven Hancock,8894620315,Steven@gmail.com,Individual
64752ee6-82a1-43e8-a7d4-ae85707e9ac2,Jennifer Campbell,9214477388,Jennifer@gmail.com,Bank
1b0dd3d1-a018-4509-ad94-856fed42359e,Pamela Case,9164971491,Pamela@gmail.com,Builder
f8c12bff-f05d-4114-998a-85af1862b702,Angela Keller,9736050911,Angela@gmail.com,Bank
44e2345b-331f-4e99-a49f-69181a039a24,Kayla Patterson DDS,9289651423,Kayla Patterson@gmail.com,Builder
29108f6f-0620-4825-8ab4-dc9bbc70be0e,James Parker,8811521144,James@gmail.com,Builder
015b4e62-f6d5-41a7-a60f-39cec3b7674e,Suzanne Beck,8414271834,Suzanne@gmail.com,Builder
c07781d0-161b-472e-b37a-ea44bc7a7867,Kyle Downs,8406638076,Kyle@gmail.com,Bank
5816ba80-d690-47ca-9892-1f526f301aea,Jessica Evans,8381906379,Jessica@gmail.com,Builder
cb950643-9850-4317-ace0-31a0b4f4a62b,Molly Romero,9022751067,Molly@gmail.com,Individual
65a7aa55-5772-42a2-934b-dedb020db696,Michael Newman,9606895328,Michael@gmail.com,Individual
fc4a0e1a-824d-4bae-b450-2a96caa7b8d1,Kevin Valenzuela,9072784378,Kevin@gmail.com,Builder
